tag	score	line	reasons
A	10	Be loyal to yourself.	len4+3/end.+2/capStart+1/imp+4
A	10	Let the magic emerge.	len4+3/end.+2/capStart+1/imp+4
A	10	Keep the flame alive.	len4+3/end.+2/capStart+1/imp+4
A	10	Be an amazing ancestor.	len4+3/end.+2/capStart+1/imp+4
A	10	Be a good PageRank node.	len5+3/end.+2/capStart+1/imp+4
A	10	Let your people be bored.	len5+3/end.+2/capStart+1/imp+4
A	10	Trust actions, not words.	len4+3/end.+2/capStart+1/imp+4
A	10	Create, play, enjoy, solve.	len4+3/end.+2/capStart+1/imp+4
A	10	Build your economic engine.	len4+3/end.+2/capStart+1/imp+4
A	10	Be an adventure capitalist.	len4+3/end.+2/capStart+1/imp+4
A	10	Create the new lindy things.	len5+3/end.+2/capStart+1/imp+4
A	10	Make room for unknown angels.	len5+3/end.+2/capStart+1/imp+4
A	10	Be a proactive problem-solver.	len4+3/end.+2/capStart+1/imp+4
A	10	Be on the beat of the universe	len7+5/capStart+1/imp+4
A	10	Build whatever stops the bleeding.	len5+3/end.+2/capStart+1/imp+4
A	10	Begin with the problem or the people	len7+5/capStart+1/imp+4
A	10	Listen to your cognitive dissonance.	len5+3/end.+2/capStart+1/imp+4
A	10	Don't be an "intellectual yet idiot."	len6+5/capStart+1/imp+4
A	10	Take God symbolically, not literally.	len5+3/end.+2/capStart+1/imp+4
A	10	follow the why and the wow. wonderism.	len7+5/end.+2/lowerStart-1/imp+4
A	10	pick the right door before you lock in.	len8+5/end.+2/lowerStart-1/imp+4
A	10	be both clear thinker and clear feeler.	len7+5/end.+2/lowerStart-1/imp+4
A	10	Build and participate in superorganisms.	len5+3/end.+2/capStart+1/imp+4
A	10	do not demonize or deify any one method.	len8+5/end.+2/lowerStart-1/imp+4
A	10	be free from the shackles of expectation.	len7+5/end.+2/lowerStart-1/imp+4
A	10	Love remedies fear, also death can do this	len8+5/capStart+1/imp+4
A	10	make errors, correct errors. create, curate.	len6+5/end.+2/lowerStart-1/imp+4
A	10	Take children seriously, including yourself.	len5+3/end.+2/capStart+1/imp+4
A	10	Find and buy the solution or make and sell it	len10+5/capStart+1/imp+4
A	10	learn how to self-untangle. s tier life skill.	len8+5/end.+2/lowerStart-1/imp+4
A	10	follow the founders of your favorite products.	len7+5/end.+2/lowerStart-1/imp+4
A	10	build the lever, point the lever, pull the lever.	len9+5/end.+2/lowerStart-1/imp+4
A	10	Keep me accountable 100 apps 100 essays 100 songs	len9+5/capStart+1/imp+4
A	10	don't paint a picture, let time paint the picture.	len9+5/end.+2/lowerStart-1/imp+4
A	10	create the set first, then look for it's power law.	len10+5/end.+2/lowerStart-1/imp+4
A	10	put the story down when the protagonist passes you.	len9+5/end.+2/lowerStart-1/imp+4
A	10	do not underestimate history, mythology, and religion.	len7+5/end.+2/lowerStart-1/imp+4
A	10	don't get ahead of yourself, do one thing well before you add.	len12+5/end.+2/lowerStart-1/imp+4
A	10	use mimesis for the unimportant. use principles for the important.	len10+5/end.+2/lowerStart-1/imp+4
A	10	Build worlds. Dig rabbit holes / bunny trails. Give people what they want.	len13+3/end.+2/capStart+1/imp+4
A	10	Use your magic wand to create more magic wands (constructors from constructor theory).	len13+3/end.+2/capStart+1/imp+4
A	10	Be book smart and street smart. Be an excellent theorist and an excellent practitioner.	len14+3/end.+2/capStart+1/imp+4
A	10	Begin with the quest, then the companions: destroy the one ring, then add samwise gamgee.	len15+3/end.+2/capStart+1/imp+4
A	9	love is the path to mastery	len6+5/lowerStart-1/isAre+1/imp+4
A	9	You are allowed to be wrong.	len6+5/end.+2/capStart+1/isAre+1
A	9	You are not your worst deed.	len6+5/end.+2/capStart+1/isAre+1
A	9	Tech is so much like shonen.	len6+5/end.+2/capStart+1/isAre+1
A	9	love is actually the answer.	len5+3/end.+2/lowerStart-1/isAre+1/imp+4
A	9	Courage is an s tier virtue.	len6+5/end.+2/capStart+1/isAre+1
A	9	We are at the very beginning.	len6+5/end.+2/capStart+1/isAre+1
A	9	Africa is the heart of Pangea.	len6+5/end.+2/capStart+1/isAre+1
A	9	Music is good for your health.	len6+5/end.+2/capStart+1/isAre+1
A	9	We are in a golden age surely.	len7+5/end.+2/capStart+1/isAre+1
A	9	Energy and clarity is the way.	len6+5/end.+2/capStart+1/isAre+1
A	9	The calendar is the quest log.	len6+5/end.+2/capStart+1/isAre+1
A	9	Lee Kuan Yew is my grandfather.	len6+5/end.+2/capStart+1/isAre+1
A	9	Notes to self are notes to you.	len7+5/end.+2/capStart+1/isAre+1
A	9	Songs are feelings in a bottle.	len6+5/end.+2/capStart+1/isAre+1
A	9	Elon is unlocking the Mars DLC.	len6+5/end.+2/capStart+1/isAre+1
A	9	The mind is powered by the legs.	len7+5/end.+2/capStart+1/isAre+1
A	9	Religion is as true as music is.	len7+5/end.+2/capStart+1/isAre+1
A	9	You are allowed to be imperfect.	len6+5/end.+2/capStart+1/isAre+1
A	9	The human spirit is so inspiring.	len6+5/end.+2/capStart+1/isAre+1
A	9	Everything is a work in progress.	len6+5/end.+2/capStart+1/isAre+1
A	9	True creativity is in the prompt.	len6+5/end.+2/capStart+1/isAre+1
A	9	You are both trainer and pokemon.	len6+5/end.+2/capStart+1/isAre+1
A	9	Selling is just telling the truth.	len6+5/end.+2/capStart+1/isAre+1
A	9	Art is made in the artist’s image.	len7+5/end.+2/capStart+1/isAre+1
A	9	There is no speed limit to action.	len7+5/end.+2/capStart+1/isAre+1
A	9	Humans are designed to be together.	len6+5/end.+2/capStart+1/isAre+1
A	9	There are no rules besides physics.	len6+5/end.+2/capStart+1/isAre+1
A	9	We are not at the end of knowledge.	len8+5/end.+2/capStart+1/isAre+1
A	9	So many theses and copy are unclear.	len7+5/end.+2/capStart+1/isAre+1
A	9	You are allowed to change your mind.	len7+5/end.+2/capStart+1/isAre+1
A	9	Evolution is a "good enough" system.	len6+5/end.+2/capStart+1/isAre+1
A	9	Every person is a mosaic of vectors.	len7+5/end.+2/capStart+1/isAre+1
A	9	A string of good days is a good life.	len9+5/end.+2/capStart+1/isAre+1
A	9	TV girl is the new smashing pumpkins.	len7+5/end.+2/capStart+1/isAre+1
A	9	What people value is a dynamic thing.	len7+5/end.+2/capStart+1/isAre+1
A	9	Money is a liquid, wealth is a solid.	len8+5/end.+2/capStart+1/isAre+1
A	9	If there is doubt, there is no doubt.	len8+5/end.+2/capStart+1/isAre+1
A	9	Now is all there ever was or will be.	len9+5/end.+2/capStart+1/isAre+1
A	9	This is being written with Aqua Voice.	len7+5/end.+2/capStart+1/isAre+1
A	9	Games are microcosms of the macrocosm.	len6+5/end.+2/capStart+1/isAre+1
A	9	Brad Jacobs is the slowbro of business.	len7+5/end.+2/capStart+1/isAre+1
A	9	There really is no moment but this one.	len8+5/end.+2/capStart+1/isAre+1
A	9	MCPs are the humanoids of the internet.	len7+5/end.+2/capStart+1/isAre+1
A	9	Vector sum is a great analogy for life.	len8+5/end.+2/capStart+1/isAre+1
A	9	The converted skeptic is an evangelist.	len6+5/end.+2/capStart+1/isAre+1
A	9	The world is full of dopamine dementors.	len7+5/end.+2/capStart+1/isAre+1
A	9	We are valuable because we're different.	len6+5/end.+2/capStart+1/isAre+1
A	9	I'll never give up. Death is at my back.	len9+5/end.+2/capStart+1/isAre+1
A	9	The internet is psychedelic for humanity.	len6+5/end.+2/capStart+1/isAre+1
A	9	Child labor, done right, is a good thing.	len8+5/end.+2/capStart+1/isAre+1
A	9	Never forget there is infinity out there.	len7+5/end.+2/capStart+1/isAre+1
A	9	Authenticity is in somewhat short supply.	len6+5/end.+2/capStart+1/isAre+1
A	9	The grass is greenest where you water it.	len8+5/end.+2/capStart+1/isAre+1
A	9	The absolute truth is impossible to vary.	len7+5/end.+2/capStart+1/isAre+1
A	9	Status games are hilarious in retrospect.	len6+5/end.+2/capStart+1/isAre+1
A	9	The reality that you want is programmable.	len7+5/end.+2/capStart+1/isAre+1
A	9	The only thing to beg for is the question.	len9+5/end.+2/capStart+1/isAre+1
A	9	Life is so much more than you think it is.	len10+5/end.+2/capStart+1/isAre+1
A	9	The most common problem is problematizing.	len6+5/end.+2/capStart+1/isAre+1
A	9	There is a beautiful path through infinity.	len7+5/end.+2/capStart+1/isAre+1
A	9	Stable dynamism is possible and preferable.	len6+5/end.+2/capStart+1/isAre+1
A	9	All you have to do is get the ball rolling.	len10+5/end.+2/capStart+1/isAre+1
A	9	Flow is when the map and territory are one.	len9+5/end.+2/capStart+1/isAre+1
A	9	There is a scientific way to solve problems.	len8+5/end.+2/capStart+1/isAre+1
A	9	Google’s free tools are top of funnel plays.	len8+5/end.+2/capStart+1/isAre+1
A	9	We are like songs that listen to each other.	len9+5/end.+2/capStart+1/isAre+1
A	9	If it makes you laugh, there is truth in it.	len10+5/end.+2/capStart+1/isAre+1
A	9	The deepest theme across both books is reach.	len8+5/end.+2/capStart+1/isAre+1
A	9	The beginning of infinity is a hero’s journey.	len8+5/end.+2/capStart+1/isAre+1
A	9	There really is no need to fear, I've learned.	len9+5/end.+2/capStart+1/isAre+1
A	9	Anxiety is cured through baby step approaches.	len7+5/end.+2/capStart+1/isAre+1
A	9	Automation is mightily fun, but the last step.	len8+5/end.+2/capStart+1/isAre+1
A	9	All it takes is one thing to change your life.	len10+5/end.+2/capStart+1/isAre+1
A	9	Half of solving a problem is being aware of it.	len10+5/end.+2/capStart+1/isAre+1
A	9	Most errors in life are suicides not homicides.	len8+5/end.+2/capStart+1/isAre+1
A	9	Not doing anything is also one of many choices.	len9+5/end.+2/capStart+1/isAre+1
A	9	The internet is absolutely an s-tier invention.	len7+5/end.+2/capStart+1/isAre+1
A	9	Social media is more for reach than engagement.	len8+5/end.+2/capStart+1/isAre+1
A	9	Leveraged fun, is speedy relevant transformation.	len6+5/end.+2/capStart+1/isAre+1
A	9	Forgive yourself and others. We are all fallible.	len8+5/end.+2/capStart+1/isAre+1
A	9	You are your ancestors. You are your descendants.	len8+5/end.+2/capStart+1/isAre+1
A	9	All problems are solvable in this adventure of life.	len9+5/end.+2/capStart+1/isAre+1
A	9	Problems are awesome. Find one to fall in love with.	len10+5/end.+2/capStart+1/isAre+1
A	9	All errors are correctable. All sins are forgivable.	len8+5/end.+2/capStart+1/isAre+1
A	9	You are the first member of your family and friends.	len10+5/end.+2/capStart+1/isAre+1
A	9	There is no purity of genre. There is no seperation.	len10+5/end.+2/capStart+1/isAre+1
A	9	Music is alchemy. A band is the fusion of its parts.	len11+5/end.+2/capStart+1/isAre+1
A	9	We are universal explainers, universal constructors.	len6+5/end.+2/capStart+1/isAre+1
A	9	Cynicism poses as authoritative. Optimism is correct.	len7+5/end.+2/capStart+1/isAre+1
A	9	Adore is such a great pseudonymous musician / artist.	len9+5/end.+2/capStart+1/isAre+1
A	9	As long as there is attention, there is monetization.	len9+5/end.+2/capStart+1/isAre+1
A	9	Follow the energy, it fills into all areas of life :)	len11+5/endparen-1/capStart+1/imp+4
A	9	The calendar is like playing guitar hero / rock band.	len10+5/end.+2/capStart+1/isAre+1
A	9	The best things in life are often free and ineffable.	len10+5/end.+2/capStart+1/isAre+1
A	9	Being, awareness, and acceptance, are the first steps.	len8+5/end.+2/capStart+1/isAre+1
A	9	When the puzzle is complete, you now have a new piece.	len11+5/end.+2/capStart+1/isAre+1
A	9	Psychology and psychedelics are infinitely interesting.	len6+5/end.+2/capStart+1/isAre+1
A	9	Competition is for losers. Collaboration is for winners.	len8+5/end.+2/capStart+1/isAre+1
A	9	You are your own niche. You are a point in vector space.	len12+5/end.+2/capStart+1/isAre+1
A	9	If you understand the system, the answer is algorithmic.	len9+5/end.+2/capStart+1/isAre+1
A	9	A person and-or service is a product in the free market.	len11+5/end.+2/capStart+1/isAre+1
A	9	To engage with a woman is the most manly thing there is.	len12+5/end.+2/capStart+1/isAre+1
A	9	The infinite game player is friend to the old and young.	len11+5/end.+2/capStart+1/isAre+1
A	9	The most interesting things in life are bottom-up emergent.	len9+5/end.+2/capStart+1/isAre+1
A	9	Tools are contextual solutions. Value derived is dynamical.	len8+5/end.+2/capStart+1/isAre+1
A	9	Emergent effects and serendipity are extremely interesting.	len7+5/end.+2/capStart+1/isAre+1
A	9	With death in the picture, there really is nothing to lose.	len11+5/end.+2/capStart+1/isAre+1
A	9	Language models and language itself, are lossy compressors.	len8+5/end.+2/capStart+1/isAre+1
A	9	Having good sleep and a family is and should be high-status.	len11+5/end.+2/capStart+1/isAre+1
A	9	White collars are theorists. Blue collars are practitioners.	len8+5/end.+2/capStart+1/isAre+1
A	9	There is always a higher resolution theory awaiting inventio.	len9+5/end.+2/capStart+1/isAre+1
A	9	The flow is always there, there’s just something blocking it.	len10+5/end.+2/capStart+1/isAre+1
A	9	Short term strategies only work because death is left uncured.	len10+5/end.+2/capStart+1/isAre+1
A	9	Kanye songs are positive affirmations. Infectious self-belief.	len7+5/end.+2/capStart+1/isAre+1
A	9	Just as there is a genetic lineage, there is a memetic lineage.	len12+5/end.+2/capStart+1/isAre+1
A	9	Short term strategies only work because death is still uncured.	len10+5/end.+2/capStart+1/isAre+1
A	9	All knowledge is fallible, permanently improvable, never final.	len8+5/end.+2/capStart+1/isAre+1
A	9	The goal is to be energized, organized, clear-minded. Unblocked.	len9+5/end.+2/capStart+1/isAre+1
A	9	The ecosystem is an economy. The universe has a mechanism to it.	len12+5/end.+2/capStart+1/isAre+1
A	9	The strongest forces in the world are not top down, but emergent.	len12+5/end.+2/capStart+1/isAre+1
A	9	Imperfection in the arena is better than perfection from the stands.	len11+5/end.+2/capStart+1/isAre+1
A	9	The todo list is infinite, so sort by relevance and life priorities.	len12+5/end.+2/capStart+1/isAre+1
A	9	Since there are infinite problems, there are infinite opportunities.	len9+5/end.+2/capStart+1/isAre+1
A	9	tell it like it is. say the quiet part out loud. truth is paramount.	len14+3/end.+2/lowerStart-1/isAre+1/imp+4
A	9	Life is better lived when you are responsible for something you love.	len12+5/end.+2/capStart+1/isAre+1
A	9	You can prompt yourself: Pinterest and Spotify are visuals and audio.	len11+5/end.+2/capStart+1/isAre+1
A	9	People who say they aren’t religious are still religious in some ways.	len12+5/end.+2/capStart+1/isAre+1
A	9	The flow state is when statistical minds coalesce with algorithmic reality.	len11+5/end.+2/capStart+1/isAre+1
A	9	Creativity creates new options, there is ALWAYS other options you could consider.	len12+5/end.+2/capStart+1/isAre+1
A	9	be honest internally and externally. honesty is one way that truth is transmitted.	len13+3/end.+2/lowerStart-1/isAre+1/imp+4
A	9	Because problems are infinite and inevitable, so are opportunities and flow states.	len12+5/end.+2/capStart+1/isAre+1
A	9	Love is scary, but it’s the most real thing out there. It’s what it’s all for. It’s supposed to change you.	len21+1/end.+2/capStart+1/isAre+1/imp+4
A	9	Take the current circumstances, and work backward to learn the history and reasons why things are the way they currently are.	len21+1/end.+2/capStart+1/isAre+1/imp+4
A	9	Think in resolutions. It’s okay to release a sketch while you get to a pixel-perfect version. Everything is a work in progress.	len22+1/end.+2/capStart+1/isAre+1/imp+4
A	8	use the best tools.	len4+3/end.+2/lowerStart-1/imp+4
A	8	AI slop needs an AI mop.	len6+5/end.+2/capStart+1
A	8	Get out of the idea maze.	len6+5/end.+2/capStart+1
A	8	Either find it or make it.	len6+5/end.+2/capStart+1
A	8	Even hard mode can be fun.	len6+5/end.+2/capStart+1
A	8	live life on your own terms	len6+5/lowerStart-1/imp+4
A	8	The ego can be so gullible.	len6+5/end.+2/capStart+1
A	8	find errors, correct errors.	len4+3/end.+2/lowerStart-1/imp+4
A	8	I'll only labor out of love.	len6+5/end.+2/capStart+1
A	8	create curate create curate.	len4+3/end.+2/lowerStart-1/imp+4
A	8	Spinoza's God = Logos = Dao.	len6+5/end.+2/capStart+1
A	8	live mantras till they break.	len5+3/end.+2/lowerStart-1/imp+4
A	8	And the beginning has no end.	len6+5/end.+2/capStart+1
A	8	work backward from perfection.	len4+3/end.+2/lowerStart-1/imp+4
A	8	Try to keep your ego in check.	len7+5/end.+2/capStart+1
A	8	make your grandchildren proud.	len4+3/end.+2/lowerStart-1/imp+4
A	8	make those who reject, regret.	len5+3/end.+2/lowerStart-1/imp+4
A	8	be prolific and find your tribe	len6+5/lowerStart-1/imp+4
A	8	LLMs don't know what to prompt.	len6+5/end.+2/capStart+1
A	8	The truth brings peace of mind.	len6+5/end.+2/capStart+1
A	8	The means and ends both matter.	len6+5/end.+2/capStart+1
A	8	The CEO loses access to reality.	len6+5/end.+2/capStart+1
A	8	look at this dude, love this dude	len7+5/lowerStart-1/imp+4
A	8	Turn on the aircon for higher IQ.	len7+5/end.+2/capStart+1
A	8	We need to make new timeless art.	len7+5/end.+2/capStart+1
A	8	Design the castle, lay the brick.	len6+5/end.+2/capStart+1
A	8	You could die. Just do the thing.	len7+5/end.+2/capStart+1
A	8	You can change your IQ and Big 5.	len8+5/end.+2/capStart+1
A	8	We reenact trauma to right wrongs.	len6+5/end.+2/capStart+1
A	8	In the limit, noone knows anything.	len6+5/end.+2/capStart+1
A	8	Age has little bearing on maturity.	len6+5/end.+2/capStart+1
A	8	No project has to die, in principle.	len7+5/end.+2/capStart+1
A	8	Sleep solves a TON of life problems.	len7+5/end.+2/capStart+1
A	8	It's okay to riff on previous works.	len7+5/end.+2/capStart+1
A	8	Religion catches you at your lowest.	len6+5/end.+2/capStart+1
A	8	Burnout means it's not right for you.	len7+5/end.+2/capStart+1
A	8	Grow the pie, and curate away takers.	len7+5/end.+2/capStart+1
A	8	Internalize the love people give you.	len6+5/end.+2/capStart+1
A	8	Bezos: I make 3 good decisions a day.	len8+5/end.+2/capStart+1
A	8	Do some people not have a conscience?	len7+5/end?-2/capStart+1/imp+4
A	8	Soul music actually refills the soul.	len6+5/end.+2/capStart+1
A	8	Popularity has no bearing on quality.	len6+5/end.+2/capStart+1
A	8	Every detail plays a functional role.	len6+5/end.+2/capStart+1
A	8	love points you in the right direction	len7+5/lowerStart-1/imp+4
A	8	Surf. The power law it’s a big kahuna.	len8+5/end.+2/capStart+1
A	8	Sometimes a law may be wrong to exist.	len8+5/end.+2/capStart+1
A	8	Solo travel allows you to tabula rasa.	len7+5/end.+2/capStart+1
A	8	“Hard” and “fun” is a false dichotomy.	len7+5/end.+2/isAre+1
A	8	Every black mirror has a white mirror.	len7+5/end.+2/capStart+1
A	8	You can't have more than 3 priorities.	len7+5/end.+2/capStart+1
A	8	Focus on what you want to see more of.	len9+5/end.+2/capStart+1
A	8	Compound your experiences, if you can.	len6+5/end.+2/capStart+1
A	8	By dwelling, you miss the opportunity.	len6+5/end.+2/capStart+1
A	8	be a phenomenal fighter for pve not pvp	len8+5/lowerStart-1/imp+4
A	8	You can criticize, but conjecture also.	len6+5/end.+2/capStart+1
A	8	If you can empathize, you can persuade.	len7+5/end.+2/capStart+1
A	8	Try on different identities, like hats.	len6+5/end.+2/capStart+1
A	8	If the jester falls, the kingdom falls.	len7+5/end.+2/capStart+1
A	8	Solve problems and help solve problems.	len6+5/end.+2/capStart+1
A	8	Volume eases the mind and lowers stakes.	len7+5/end.+2/capStart+1
A	8	You can never get tired of the timeless.	len8+5/end.+2/capStart+1
A	8	There's little reason to be embarrassed.	len6+5/end.+2/capStart+1
A	8	The old theory maps onto the new theory.	len8+5/end.+2/capStart+1
A	8	The unwritten rules can be hard to read.	len8+5/end.+2/capStart+1
A	8	Point your code and media to each other.	len8+5/end.+2/capStart+1
A	8	The louder you type, the better you code.	len8+5/end.+2/capStart+1
A	8	Humans can be obsessed with status games.	len7+5/end.+2/capStart+1
A	8	Never allow cowardice to be a bottleneck.	len7+5/end.+2/capStart+1
A	8	Parkinson’s law applies to time and money.	len7+5/end.+2/capStart+1
A	8	Get a .fun and .work personal site domain.	len8+5/end.+2/capStart+1
A	8	Cap the downside risk (negative unknowns).	len6+5/end.+2/capStart+1
A	8	Songs exist for the moments they resonate.	len7+5/end.+2/capStart+1
A	8	Beauty points you toward perfect infinity.	len6+5/end.+2/capStart+1
A	8	Get used to solving multivariate problems.	len6+5/end.+2/capStart+1
A	8	Ayn Rand’s “selfish” could use a new word.	len8+5/end.+2/capStart+1
A	8	That's how you know you're close to truth.	len8+5/end.+2/capStart+1
A	8	Just as the body sprints, so does the mind.	len9+5/end.+2/capStart+1
A	8	Get corrected by physics and by the market.	len8+5/end.+2/capStart+1
A	8	General exposure ensures the global minima.	len6+5/end.+2/capStart+1
A	8	Your body’s state drives your mind’s story.	len7+5/end.+2/capStart+1
A	8	It can be hard to read the unwritten rules.	len9+5/end.+2/capStart+1
A	8	Pair critical thinking with critical action.	len6+5/end.+2/capStart+1
A	8	If you don't have a sense of humor, I'm sus.	len10+5/end.+2/capStart+1
A	8	Views shouldn't be the only internet metric.	len7+5/end.+2/capStart+1
A	8	The agent and the arena co-shape each other.	len8+5/end.+2/capStart+1
A	8	There is no free lunch? but why.............	len7+5/end.+2/capStart+1/isAre+1/ellipsis-1
A	8	Don't you see all the power laws around you?	len9+5/end?-2/capStart+1/imp+4
A	8	Try to beat the final boss on the first try.	len10+5/end.+2/capStart+1
A	8	Employees can’t do their best work and hide.	len8+5/end.+2/capStart+1
A	8	create magic buttons that transform the world	len7+5/lowerStart-1/imp+4
A	8	You develop your taste by eating and cooking.	len8+5/end.+2/capStart+1
A	8	Map the idea maze, walk out of the idea maze.	len10+5/end.+2/capStart+1
A	8	create your own power law with bodies of work	len9+5/lowerStart-1/imp+4
A	8	I’m learning that even inaction can be wrong.	len8+5/end.+2/capStart+1
A	8	Until they can take an action, don’t promote.	len8+5/end.+2/capStart+1
A	8	One size doesn't fit all. All sizes fits all.	len9+5/end.+2/capStart+1
A	8	We all put out signals. You can't NOT signal.	len9+5/end.+2/capStart+1
A	8	Good constraints show you EXACTLY what to do.	len8+5/end.+2/capStart+1
A	8	You can be an internet real estate developer.	len8+5/end.+2/capStart+1
A	8	Break people out of their own mental prisons.	len8+5/end.+2/capStart+1
A	8	The outer adult grows around the inner child.	len8+5/end.+2/capStart+1
A	8	His answer begins with an act of destruction.	len8+5/end.+2/capStart+1
A	8	If I were an instrument, I'd be a bass guitar.	len10+5/end.+2/capStart+1
A	8	The carrot works better for me than the stick.	len9+5/end.+2/capStart+1
A	8	This isn't speculation bolted onto the theory.	len7+5/end.+2/capStart+1
A	8	Free samples and trials build trust with users.	len8+5/end.+2/capStart+1
A	8	The more deep work I do, the better the day is.	len11+5/end.+2/capStart+1
A	8	It's all one project, the project of your life.	len9+5/end.+2/capStart+1
A	8	I think Tim Ferriss is the modern Ben Franklin.	len9+5/end.+2/capStart+1/isAre+1/firstPers-1
A	8	You should get micro-paid for seeding torrents.	len7+5/end.+2/capStart+1
A	8	Frankenstein your life from your best 100 books.	len8+5/end.+2/capStart+1
A	8	If you ask good questions, you get good answers.	len9+5/end.+2/capStart+1
A	8	Heuristic: never watch shorts / reels / tiktoks.	len8+5/end.+2/capStart+1
A	8	No amount of anger will solve the puzzle faster.	len9+5/end.+2/capStart+1
A	8	It does not break the laws of physics to succeed.	len10+5/end.+2/capStart+1
A	8	close loops yes, but the good will kill the great	len10+5/lowerStart-1/imp+4
A	8	You get more of the pie if you grow the pie more.	len12+5/end.+2/capStart+1
A	8	If you unclench your asshole, shit comes through.	len8+5/end.+2/capStart+1
A	8	Gemini is quite emotionally neutral, I like it...	len8+5/end.+2/capStart+1/isAre+1/ellipsis-1
A	8	New religions do not announce themselves as such.	len8+5/end.+2/capStart+1
A	8	Pokemon regions should have exclusive TMs or smth.	len8+5/end.+2/capStart+1
A	8	The soundtrack can make or break a series or game.	len10+5/end.+2/capStart+1
A	8	Sleep and getting out of the house solved so much.	len10+5/end.+2/capStart+1
A	8	Note to self: post all X drafts here on farcaster.	len10+5/end.+2/capStart+1
A	8	Manage your energy, and your time, and your money.	len9+5/end.+2/capStart+1
A	8	The fact that you're on the fence means it's a no.	len11+5/end.+2/capStart+1
A	8	When it's bed time, literally turn off your phone.	len9+5/end.+2/capStart+1
A	8	These aren't separate subjects they're one fabric.	len7+5/end.+2/capStart+1
A	8	The company drifts from what’s actually happening.	len7+5/end.+2/capStart+1
A	8	don't compare outputs if you haven't matched inputs	len8+5/lowerStart-1/imp+4
A	8	be careful not to pollute the memepool in your mind	len10+5/lowerStart-1/imp+4
A	8	Nobody has a monopoly on truth, or authority on it.	len10+5/end.+2/capStart+1
A	8	Business should be fun. Emphasis on SHOULD and FUN.	len9+5/end.+2/capStart+1
A	8	Your irl feed should look like your Pinterest feed.	len9+5/end.+2/capStart+1
A	8	If you were in Germany, you could have been a nazi.	len11+5/end.+2/capStart+1
A	8	set and setting matter even when not on psychedelics	len9+5/lowerStart-1/imp+4
A	8	Dumb * Iteration = Smart. Smart * Stagnation = Dumb.	len10+5/end.+2/capStart+1
A	8	In capitalism, you sow specifically, reap generally.	len7+5/end.+2/capStart+1
A	8	From this single criterion, everything else unfolds.	len7+5/end.+2/capStart+1
A	8	find the weave, the throughline of your days and life	len10+5/lowerStart-1/imp+4
A	8	If you don’t believe in God, it’s hard to evangelize.	len10+5/end.+2/capStart+1
A	8	Apply the old to the new, the timeless to the timely.	len11+5/end.+2/capStart+1
A	8	If you keep thinking about it, do something about it.	len10+5/end.+2/capStart+1
A	8	People often have mixed motivations for what they do.	len9+5/end.+2/capStart+1
A	8	Julia Cameron talks about this in *The Artist’s Way*.	len9+5/end.+2/capStart+1
A	8	Knowledge and skills can come, motivation comes first.	len8+5/end.+2/capStart+1
A	8	Integrity, then curiosity, then diligence. All wisdom.	len7+5/end.+2/capStart+1
A	8	We didn't start the fire, but it's our responsibility.	len9+5/end.+2/capStart+1
