   1  [A score= 13]  Love is what it’s all for.
   2  [A score= 13]  Love is a verb. Do it daily.
   3  [A score= 12]  Take matters into your own hands.
   4  [A score= 12]  Act like an owner to gain ownership.
   5  [A score= 12]  Be an opportunity detector and sniper.
   6  [A score= 12]  Build windmills before the wind blows.
   7  [A score= 12]  Be clear about what game you're playing.
   8  [A score= 12]  Don't project your frugality onto others.
   9  [A score= 12]  Be grateful for your para-social mentors.
  10  [A score= 12]  Give into the placebo, it actually helps.
  11  [A score= 12]  Do it casually on purpose to get started.
  12  [A score= 12]  Find the explanation behind the statistics.
  13  [A score= 12]  Use LLMs to digest and catalyze text / ideas.
  14  [A score= 12]  Don't take the concept of "God" too literally.
  15  [A score= 12]  Love and death summon courage and clarify things.
  16  [A score= 12]  Close loops and get all the balls out of your court.
  17  [A score= 12]  Keep the sabbath holy. Remember what matters in life.
  18  [A score= 12]  Have a theory of mind for others. Empathy some call it.
  19  [A score= 12]  Take children more seriously. Take adults less seriously.
  20  [A score= 12]  Listen to someone's mother tongue to hear their true articulation.
  21  [A score= 12]  Don't disturb people with headphones on! Common sense ain't so common.
  22  [A score= 11]  Love is a verb.
  23  [A score= 11]  Remember that you are free.
  24  [A score= 11]  Trust is rebuilt when the track record is solid
  25  [A score= 11]  keep subtracting, and what is left, is the answer.
  26  [A score= 11]  Love is a language. You may not speak the same one, from person to person.
  27  [A score= 10]  Set the truth free.
  28  [A score= 10]  Be loyal to yourself.
  29  [A score= 10]  Let the magic emerge.
  30  [A score= 10]  Keep the flame alive.
  31  [A score= 10]  Be an amazing ancestor.
  32  [A score= 10]  Be a good PageRank node.
  33  [A score= 10]  Let your people be bored.
  34  [A score= 10]  Trust actions, not words.
  35  [A score= 10]  Create, play, enjoy, solve.
  36  [A score= 10]  Build your economic engine.
  37  [A score= 10]  Be an adventure capitalist.
  38  [A score= 10]  Create the new lindy things.
  39  [A score= 10]  Make room for unknown angels.
  40  [A score= 10]  Be a proactive problem-solver.
  41  [A score= 10]  Be on the beat of the universe
  42  [A score= 10]  Build whatever stops the bleeding.
  43  [A score= 10]  Begin with the problem or the people
  44  [A score= 10]  Listen to your cognitive dissonance.
  45  [A score= 10]  Don't be an "intellectual yet idiot."
  46  [A score= 10]  Take God symbolically, not literally.
  47  [A score= 10]  follow the why and the wow. wonderism.
  48  [A score= 10]  pick the right door before you lock in.
  49  [A score= 10]  be both clear thinker and clear feeler.
  50  [A score= 10]  Build and participate in superorganisms.
  51  [A score= 10]  do not demonize or deify any one method.
  52  [A score= 10]  be free from the shackles of expectation.
  53  [A score= 10]  Love remedies fear, also death can do this
  54  [A score= 10]  make errors, correct errors. create, curate.
  55  [A score= 10]  Take children seriously, including yourself.
  56  [A score= 10]  Find and buy the solution or make and sell it
  57  [A score= 10]  learn how to self-untangle. s tier life skill.
  58  [A score= 10]  follow the founders of your favorite products.
  59  [A score= 10]  build the lever, point the lever, pull the lever.
  60  [A score= 10]  Keep me accountable 100 apps 100 essays 100 songs
  61  [A score= 10]  don't paint a picture, let time paint the picture.
  62  [A score= 10]  create the set first, then look for it's power law.
  63  [A score= 10]  put the story down when the protagonist passes you.
  64  [A score= 10]  do not underestimate history, mythology, and religion.
  65  [A score= 10]  don't get ahead of yourself, do one thing well before you add.
  66  [A score= 10]  use mimesis for the unimportant. use principles for the important.
  67  [A score= 10]  Build worlds. Dig rabbit holes / bunny trails. Give people what they want.
  68  [A score= 10]  Use your magic wand to create more magic wands (constructors from constructor theory).
  69  [A score= 10]  Be book smart and street smart. Be an excellent theorist and an excellent practitioner.
  70  [A score= 10]  Begin with the quest, then the companions: destroy the one ring, then add samwise gamgee.
 145  [A score=  9]  Half of solving a problem is being aware of it.
 146  [A score=  9]  Most errors in life are suicides not homicides.
 147  [A score=  9]  Not doing anything is also one of many choices.
 148  [A score=  9]  The internet is absolutely an s-tier invention.
 149  [A score=  9]  Social media is more for reach than engagement.
 150  [A score=  9]  Leveraged fun, is speedy relevant transformation.
 151  [A score=  9]  Forgive yourself and others. We are all fallible.
 152  [A score=  9]  You are your ancestors. You are your descendants.
 153  [A score=  9]  All problems are solvable in this adventure of life.
 154  [A score=  9]  Problems are awesome. Find one to fall in love with.
 155  [A score=  9]  All errors are correctable. All sins are forgivable.
 156  [A score=  9]  You are the first member of your family and friends.
 157  [A score=  9]  There is no purity of genre. There is no seperation.
 158  [A score=  9]  Music is alchemy. A band is the fusion of its parts.
 159  [A score=  9]  We are universal explainers, universal constructors.
 160  [A score=  9]  Cynicism poses as authoritative. Optimism is correct.
 161  [A score=  9]  Adore is such a great pseudonymous musician / artist.
 162  [A score=  9]  As long as there is attention, there is monetization.
 163  [A score=  9]  Follow the energy, it fills into all areas of life :)
 164  [A score=  9]  The calendar is like playing guitar hero / rock band.
 165  [A score=  9]  The best things in life are often free and ineffable.
 166  [A score=  9]  Being, awareness, and acceptance, are the first steps.
 167  [A score=  9]  When the puzzle is complete, you now have a new piece.
 168  [A score=  9]  Psychology and psychedelics are infinitely interesting.
 169  [A score=  9]  Competition is for losers. Collaboration is for winners.
 170  [A score=  9]  You are your own niche. You are a point in vector space.
 171  [A score=  9]  If you understand the system, the answer is algorithmic.
 172  [A score=  9]  A person and-or service is a product in the free market.
 173  [A score=  9]  To engage with a woman is the most manly thing there is.
 174  [A score=  9]  The infinite game player is friend to the old and young.
 175  [A score=  9]  The most interesting things in life are bottom-up emergent.
 176  [A score=  9]  Tools are contextual solutions. Value derived is dynamical.
 177  [A score=  9]  Emergent effects and serendipity are extremely interesting.
 178  [A score=  9]  With death in the picture, there really is nothing to lose.
 179  [A score=  9]  Language models and language itself, are lossy compressors.
 180  [A score=  9]  Having good sleep and a family is and should be high-status.
 181  [A score=  9]  White collars are theorists. Blue collars are practitioners.
 182  [A score=  9]  There is always a higher resolution theory awaiting inventio.
 183  [A score=  9]  The flow is always there, there’s just something blocking it.
 184  [A score=  9]  Short term strategies only work because death is left uncured.
 185  [A score=  9]  Kanye songs are positive affirmations. Infectious self-belief.
 186  [A score=  9]  Just as there is a genetic lineage, there is a memetic lineage.
 187  [A score=  9]  Short term strategies only work because death is still uncured.
 188  [A score=  9]  All knowledge is fallible, permanently improvable, never final.
 189  [A score=  9]  The goal is to be energized, organized, clear-minded. Unblocked.
 190  [A score=  9]  The ecosystem is an economy. The universe has a mechanism to it.
 191  [A score=  9]  The strongest forces in the world are not top down, but emergent.
 192  [A score=  9]  Imperfection in the arena is better than perfection from the stands.
 193  [A score=  9]  The todo list is infinite, so sort by relevance and life priorities.
 194  [A score=  9]  Since there are infinite problems, there are infinite opportunities.
 195  [A score=  9]  tell it like it is. say the quiet part out loud. truth is paramount.
 196  [A score=  9]  Life is better lived when you are responsible for something you love.
 197  [A score=  9]  You can prompt yourself: Pinterest and Spotify are visuals and audio.
 198  [A score=  9]  People who say they aren’t religious are still religious in some ways.
 199  [A score=  9]  The flow state is when statistical minds coalesce with algorithmic reality.
 200  [A score=  9]  Creativity creates new options, there is ALWAYS other options you could consider.
 201  [A score=  9]  be honest internally and externally. honesty is one way that truth is transmitted.
 202  [A score=  9]  Because problems are infinite and inevitable, so are opportunities and flow states.
 203  [A score=  9]  Love is scary, but it’s the most real thing out there. It’s what it’s all for. It’s supposed to change you.
 204  [A score=  9]  Take the current circumstances, and work backward to learn the history and reasons why things are the way they currently are.
 205  [A score=  9]  Think in resolutions. It’s okay to release a sketch while you get to a pixel-perfect version. Everything is a work in progress.
 206  [A score=  8]  use the best tools.
 207  [A score=  8]  AI slop needs an AI mop.
 208  [A score=  8]  Get out of the idea maze.
 209  [A score=  8]  Either find it or make it.
 210  [A score=  8]  Even hard mode can be fun.
 211  [A score=  8]  live life on your own terms
 212  [A score=  8]  The ego can be so gullible.
 213  [A score=  8]  find errors, correct errors.
 214  [A score=  8]  I'll only labor out of love.
 215  [A score=  8]  create curate create curate.
 216  [A score=  8]  Spinoza's God = Logos = Dao.
 217  [A score=  8]  live mantras till they break.
 218  [A score=  8]  And the beginning has no end.
 219  [A score=  8]  work backward from perfection.
 220  [A score=  8]  Try to keep your ego in check.
 221  [A score=  8]  make your grandchildren proud.
 222  [A score=  8]  make those who reject, regret.
 223  [A score=  8]  be prolific and find your tribe
 224  [A score=  8]  LLMs don't know what to prompt.
 225  [A score=  8]  The truth brings peace of mind.
 226  [A score=  8]  The means and ends both matter.
 227  [A score=  8]  The CEO loses access to reality.
 228  [A score=  8]  look at this dude, love this dude
 229  [A score=  8]  Turn on the aircon for higher IQ.
 230  [A score=  8]  We need to make new timeless art.
 231  [A score=  8]  Design the castle, lay the brick.
 232  [A score=  8]  You could die. Just do the thing.
 233  [A score=  8]  You can change your IQ and Big 5.
 234  [A score=  8]  We reenact trauma to right wrongs.
 235  [A score=  8]  In the limit, noone knows anything.
 236  [A score=  8]  Age has little bearing on maturity.
 237  [A score=  8]  No project has to die, in principle.
 238  [A score=  8]  Sleep solves a TON of life problems.
 239  [A score=  8]  It's okay to riff on previous works.
 240  [A score=  8]  Religion catches you at your lowest.
 241  [A score=  8]  Burnout means it's not right for you.
 242  [A score=  8]  Grow the pie, and curate away takers.
 243  [A score=  8]  Internalize the love people give you.
 244  [A score=  8]  Bezos: I make 3 good decisions a day.
 245  [A score=  8]  Do some people not have a conscience?
 246  [A score=  8]  Soul music actually refills the soul.
 247  [A score=  8]  Popularity has no bearing on quality.
 248  [A score=  8]  Every detail plays a functional role.
 249  [A score=  8]  love points you in the right direction
 250  [A score=  8]  Surf. The power law it’s a big kahuna.
 251  [A score=  8]  Sometimes a law may be wrong to exist.
 252  [A score=  8]  Solo travel allows you to tabula rasa.
 253  [A score=  8]  “Hard” and “fun” is a false dichotomy.
 254  [A score=  8]  Every black mirror has a white mirror.
 255  [A score=  8]  You can't have more than 3 priorities.
 256  [A score=  8]  Focus on what you want to see more of.
 257  [A score=  8]  Compound your experiences, if you can.
 258  [A score=  8]  By dwelling, you miss the opportunity.
 259  [A score=  8]  be a phenomenal fighter for pve not pvp
 260  [A score=  8]  You can criticize, but conjecture also.
 261  [A score=  8]  If you can empathize, you can persuade.
 262  [A score=  8]  Try on different identities, like hats.
 263  [A score=  8]  If the jester falls, the kingdom falls.
 264  [A score=  8]  Solve problems and help solve problems.
 265  [A score=  8]  Volume eases the mind and lowers stakes.
 266  [A score=  8]  You can never get tired of the timeless.
 267  [A score=  8]  There's little reason to be embarrassed.
 268  [A score=  8]  The old theory maps onto the new theory.
 269  [A score=  8]  The unwritten rules can be hard to read.
 270  [A score=  8]  Point your code and media to each other.
 271  [A score=  8]  The louder you type, the better you code.
 272  [A score=  8]  Humans can be obsessed with status games.
 273  [A score=  8]  Never allow cowardice to be a bottleneck.
 274  [A score=  8]  Parkinson’s law applies to time and money.
 275  [A score=  8]  Get a .fun and .work personal site domain.
 276  [A score=  8]  Cap the downside risk (negative unknowns).
 277  [A score=  8]  Songs exist for the moments they resonate.
 278  [A score=  8]  Beauty points you toward perfect infinity.
 279  [A score=  8]  Get used to solving multivariate problems.
 280  [A score=  8]  Ayn Rand’s “selfish” could use a new word.
 281  [A score=  8]  That's how you know you're close to truth.
 282  [A score=  8]  Just as the body sprints, so does the mind.
 283  [A score=  8]  Get corrected by physics and by the market.
 284  [A score=  8]  General exposure ensures the global minima.
 285  [A score=  8]  Your body’s state drives your mind’s story.
 286  [A score=  8]  It can be hard to read the unwritten rules.
 287  [A score=  8]  Pair critical thinking with critical action.
 288  [A score=  8]  If you don't have a sense of humor, I'm sus.
 289  [A score=  8]  Views shouldn't be the only internet metric.
 290  [A score=  8]  The agent and the arena co-shape each other.
 291  [A score=  8]  There is no free lunch? but why.............
 292  [A score=  8]  Don't you see all the power laws around you?
 293  [A score=  8]  Try to beat the final boss on the first try.
 294  [A score=  8]  Employees can’t do their best work and hide.
 295  [A score=  8]  create magic buttons that transform the world
 296  [A score=  8]  You develop your taste by eating and cooking.
 297  [A score=  8]  Map the idea maze, walk out of the idea maze.
 298  [A score=  8]  create your own power law with bodies of work
 299  [A score=  8]  I’m learning that even inaction can be wrong.
 300  [A score=  8]  Until they can take an action, don’t promote.
